timestamp (us),gx (d/s),gy (d/s),gz (d/s)
7474997,-0.06,-0.06,0.12
7481143,-0.12,-0.18,0
7487286,-0.18,-0.24,0
7493434,0,-0.24,0.06
7499553,0.06,-0.18,0.06
7506723,0.12,-0.18,0.06
7512878,0.24,-0.12,0
7520018,0.37,0.06,-0.06
7526166,0.18,0.12,0
7532333,0.12,0.12,0.06
7538496,0,0.12,0
7545659,0,0,0
7551830,0,-0.12,0
7558001,0.06,-0.18,0.06
7564187,0.06,-0.06,0.18
7571359,0.12,0.06,0.24
7577532,0.24,0.06,0.18
7584756,-0.06,0,0
7590946,-0.18,-0.06,0
7597137,-0.18,-0.06,0.06
7603341,-0.06,-0.06,-0.06
7609544,0.06,0,-0.12
7615748,0.12,-0.06,-0.12
7623967,0.06,-0.06,-0.06
7630163,0.12,0,0
7635976,0.12,0,0.06
7641785,0.06,0.06,0.12
7647595,-0.06,0,0.12
7653410,-0.06,0,-0.06
7660677,0,0.06,-0.06
7666492,0.06,0.12,0.06
7672691,0.18,0.12,0.18
7679472,0.43,0.24,0.06
7685669,0.37,0.18,-0.06
7692857,0.31,0.06,-0.12
7699039,0.18,-0.06,-0.06
7705229,0.12,-0.06,-0.12
7711419,0.06,-0.12,-0.12
7717571,0.12,-0.18,-0.18
7723734,0.12,-0.24,-0.18
7731901,0.12,-0.18,-0.12
7738058,0.12,-0.24,-0.06
7744230,0.06,-0.24,0
7750400,0,-0.18,0.12
7756567,-0.06,-0.12,0.18
7762744,0.06,0,0.18
7769948,0.24,0.06,0
7776135,0.18,0.06,0
7783307,0,0.06,0
7789480,-0.18,-0.06,-0.06
7795672,-0.31,-0.24,-0.06
7801864,-0.24,-0.31,-0.06
7809093,0,-0.12,0
7815295,0,0,-0.06
7821495,-0.06,0.12,-0.06
7827701,-0.06,0.12,-0.12
7834492,-0.06,0.12,-0.06
7840689,-0.12,0.06,-0.06
7847954,-0.12,0.06,-0.06
7853770,-0.12,0.06,0.06
7859585,-0.18,-0.12,0.12
7865405,-0.18,-0.24,0.12
7871229,-0.18,-0.24,0.12
7877060,-0.12,-0.06,0.06
7884351,0.06,0.12,0
7891166,0.12,0.06,-0.06
7896999,0.12,0,-0.12
7902841,0,-0.06,-0.06
7908679,-0.12,-0.06,0
7914520,-0.06,-0.12,-0.06
7921838,0,-0.18,-0.12
7927688,0,-0.24,-0.12
7933542,-0.12,-0.18,0.06
7939400,-0.18,-0.12,0.18
7946245,-0.06,0,0.18
7953583,0.12,0.18,-0.06
7959451,0.12,0.18,-0.06
7965323,0.18,0.06,-0.06
7971201,0.12,-0.06,0
7977075,0.06,-0.18,0.06
7982964,-0.12,-0.18,0.06
7990338,-0.18,0,0.12
7996226,-0.06,0.06,0.06
8003105,0.37,0.12,0.18
8008993,0.55,0.12,0.24
8014895,0.55,0.06,0.31
8020793,0.49,0.06,0.24
8028193,0.18,0.12,0.06
8041286,-0.06,0,-0.12
8047208,-0.06,-0.12,-0.24
8054127,0,-0.06,-0.37
8060039,0.06,0,-0.31
8065971,0.18,0.06,-0.24
8072803,0.31,0.06,-0.12
8078741,0.12,-0.18,-0.06
8084681,0,-0.24,0
8090622,0,-0.18,0
8096566,0.06,-0.12,0
8102512,0.24,0,0.06
8110356,0.24,0.06,0.24
8116221,0.24,0,0.24
8122095,0.31,0,0.12
8127969,0.31,0.06,0.06
8133853,0,0.12,0.06
8139690,-0.06,0.12,0.12
8146392,0.06,0.18,0.06
8152240,0.18,0.24,0.06
8158098,0.24,0.12,-0.06
8164534,0.18,0.06,-0.06
8170379,0.12,0,-0.06
8176243,0.12,0.12,0
8182976,0.18,0.12,0
8188850,0.18,-0.06,-0.18
8194719,0.06,-0.18,-0.24
8200597,0,-0.24,-0.18
8206477,0,-0.18,-0.18
8212359,0.06,-0.12,-0.12
8220113,0.18,-0.12,0
8225988,0.24,-0.06,0
8231885,0.37,0.12,0
8237780,0.37,0.24,-0.06
8243681,0.18,0.06,-0.18
8249583,0.12,0,-0.24
8256456,0.12,0,-0.18
8262448,0.06,0,0
8268436,-0.12,0,0.24
8275013,-0.18,0.06,0.18
8281002,-0.06,0.12,0.12
8293016,0.12,-0.06,0.06
8299096,0.06,-0.12,0.12
8305028,0,-0.06,0.06
8310965,0,0.06,0
8317028,0,0.12,0
8323093,-0.06,0.18,0
8331114,0.06,0.12,-0.06
8337116,0.12,0.12,-0.06
8343111,0.06,-0.12,0.06
8349109,0.06,-0.24,0.06
8355109,0.06,-0.31,0.06
8361111,0.06,-0.18,0.06
8368066,0.31,0.18,0.12
8374037,0.31,0.24,0.18
8380007,0.12,0.18,0.18
8386560,-0.06,0,0.12
8392527,-0.18,-0.18,0
8398506,0,0,-0.06
8405413,0.18,0.18,-0.12
8411401,0.37,0.24,-0.12
8417389,0.31,0.12,-0.12
8423382,0.18,-0.06,0.06
8429379,0.18,-0.12,0.06
8435383,0.18,-0.12,0.12
8443309,0,-0.06,0.12
8449305,-0.06,-0.12,0
8455320,-0.06,-0.18,-0.06
8461336,0.12,0,-0.12
8467355,0.24,0.12,-0.06
8473378,0.24,0.24,-0.06
8480371,0.24,0.24,-0.12
8486417,0.18,0.12,-0.12
8492458,0.18,0,0
8499087,0.06,-0.06,0.18
8505131,0,0,0.18
8511187,0.06,0,0.06
8518211,0.18,0.18,-0.06
8524277,0.12,0.24,0
8530343,0,0.24,0
8536412,0,0.18,0.06
8542477,0.06,0.06,0.06
8548549,0.18,0,0
8556572,0.12,0.06,-0.06
8562643,0.12,0.12,-0.12
8568728,0.06,0.12,-0.12
8574815,-0.06,0,0
8580902,-0.12,-0.06,0.12
