Clock,gx,gy,gz,,,,,
5946253,0.12,-0.06,0,,,,,
5952120,0.06,-0.06,0,,,,,
5959237,-0.12,-0.12,-0.24,,,,,
5965117,-0.12,0,-0.24,,,,,
5970998,0,0.24,-0.18,,,,,
5976881,0.06,0.37,-0.06,,,,,
5982769,0,0.37,-0.06,,,,,
5989935,-0.06,0.06,0.06,,,,,
5995791,0,-0.12,0.06,,,,,
6002636,0.06,-0.24,0.06,,,,,
6008521,-0.06,-0.24,0.06,,,,,
6014375,-0.12,-0.18,-0.06,,,,,
6020270,-0.18,-0.12,-0.12,,,,,
6027411,-0.24,-0.06,-0.12,,,,,
6033275,-0.31,0,0,,,,,
6040745,-0.31,0,0.12,,,,,
6046669,-0.12,-0.06,0,,,,,
6052587,0,-0.12,-0.06,,,,,
6059454,0.18,0.06,0,,,,,
6066658,0.24,0.12,0,,,,,
6072578,0.18,0.12,0,,,,,
6078499,0,0,0.12,,,,,
6084419,-0.06,0,0.06,,,,,
6090343,-0.06,-0.12,0.06,,,,,
6096587,0,-0.18,-0.06,,,,,
6103816,0.18,-0.06,-0.06,,,,,
6110736,0.18,0.18,0,,,,,
6116667,0.24,0.31,0.06,,,,,
6122603,0.18,0.24,0.12,,,,,
6128536,0,-0.06,0,,,,,
6134438,-0.06,-0.24,-0.12,,,,,
6141679,-0.06,-0.37,-0.18,,,,,
6147624,-0.06,-0.43,-0.18,,,,,
6153956,-0.06,-0.12,0,,,,,
6159872,0,0.06,0.06,,,,,
6166801,0.06,0.18,0,,,,,
6174050,0.18,0.24,0,,,,,
6179968,0.18,0.18,-0.06,,,,,
6185922,0.12,0.18,-0.12,,,,,
6191878,0.06,0.12,-0.12,,,,,
6197836,0,0,-0.12,,,,,
6203764,0,-0.24,0,,,,,
6211352,0,-0.24,0,,,,,
6218296,0.06,-0.31,0,,,,,
6224258,0.12,-0.12,-0.06,,,,,
6230193,0.12,0,-0.06,,,,,
6236164,0.12,-0.06,0,,,,,
6242259,0,-0.18,0.06,,,,,
6249776,-0.06,-0.31,0.12,,,,,
6255881,0.06,-0.24,0.12,,,,,
6261978,0,-0.24,0.06,,,,,
6277565,0.18,-0.18,0,,,,,
6283429,0.18,-0.06,0.12,,,,,
6289287,0.31,0.06,0.12,,,,,
6296428,0.37,0.24,0.06,,,,,
6302289,0.31,0.31,0,,,,,
6308188,0.18,0.24,-0.06,,,,,
6314058,0,0.06,0,,,,,
6319960,0,0,0,,,,,
6325870,0,0,-0.06,,,,,
6334388,0.12,0,-0.06,,,,,
6340293,0.18,-0.06,-0.12,,,,,
6346216,0.12,-0.18,-0.18,,,,,
6352142,0.06,-0.31,-0.18,,,,,
6358032,0,-0.31,-0.24,,,,,
6365244,0.12,-0.06,-0.24,,,,,
6371171,0.18,0.06,-0.18,,,,,
6377100,0.18,0.18,-0.06,,,,,
6382997,0.12,0.24,0,,,,,
6390239,0,0.24,-0.06,,,,,
6396170,0,0.18,-0.12,,,,,
6403365,0,0,-0.06,,,,,
6409296,-0.06,-0.12,0.12,,,,,
6415238,-0.06,-0.06,0.06,,,,,
6421181,-0.06,0.06,0.06,,,,,
6427125,0,0.18,0.06,,,,,
6433057,0,0.18,0.12,,,,,
6441253,0.06,0,0,,,,,
6447512,0.06,-0.06,0,,,,,
6453462,0.18,0.06,0,,,,,
6459365,0.31,0.12,0,,,,,
6465315,0.31,0.18,-0.06,,,,,
6471241,0.12,0.12,-0.06,,,,,
6478500,-0.12,0,-0.06,,,,,
6484444,-0.24,-0.12,0,,,,,
6490398,-0.24,-0.18,0.06,,,,,
6497310,-0.18,-0.24,0,,,,,
6503583,0.06,-0.18,-0.12,,,,,
6509517,0.06,-0.06,-0.06,,,,,
6516803,0.12,0.06,0.06,,,,,
6522744,0.24,0.18,0.06,,,,,
6528756,0.18,0.31,0.06,,,,,
6534889,0.06,0.24,0.12,,,,,
6540991,0.06,0.24,0.18,,,,,
6547127,0.12,0.18,0.06,,,,,
6555646,0.24,0.18,0,,,,,
6562071,0.24,0.12,0,,,,,
6568180,0.24,0.06,0,,,,,
6574284,0,-0.12,-0.06,,,,,
6580430,-0.12,-0.12,-0.06,,,,,
6588006,-0.06,-0.12,-0.06,,,,,
6594159,0.12,-0.06,0,,,,,
6600285,0.12,0.06,0.06,,,,,
6607358,0.18,0.18,0.18,,,,,
6613481,0.24,0.31,0.12,,,,,
6619967,0.24,0.24,0.06,,,,,
6627498,0.12,0.06,0.06,,,,,
6633634,0,-0.06,0,,,,,
6639780,0,0,0,,,,,
6645920,0.12,0.06,-0.06,,,,,
6652035,0.18,0.24,-0.12,,,,,
6659131,0.12,0.49,-0.18,,,,,
6666678,0.06,0.49,-0.12,,,,,
6672831,0.06,0.37,-0.06,,,,,
6679308,-0.06,0,0.06,,,,,
6685429,0,-0.12,0.12,,,,,
6696180,0.18,-0.06,0.12,,,,,
6702333,0.24,0,0.06,,,,,
6720655,0.12,-0.06,-0.06,,,,,
6726740,0.06,-0.18,-0.06,,,,,
6732823,0,-0.18,0,,,,,
6738893,0.06,0.06,0,,,,,
6744963,0.12,0.12,0,,,,,
6750994,0.24,0.18,0,,,,,
6757858,0.18,0.06,0.06,,,,,
6763935,0.06,-0.12,-0.06,,,,,
6770047,0.06,-0.18,-0.18,,,,,
6776698,0.06,-0.24,-0.12,,,,,
6782773,0.12,-0.18,-0.12,,,,,
6789662,0.12,0,0,,,,,
6795777,0.06,0,-0.06,,,,,
6801869,0,-0.06,-0.06,,,,,
6807868,0,0,-0.06,,,,,
6813992,0.18,0.31,0,,,,,
6820087,0.18,0.24,0,,,,,
6827979,0.18,0.06,0.06,,,,,
6834101,0.18,-0.12,0.06,,,,,
6840237,0.18,-0.12,-0.06,,,,,
6846339,0.06,-0.18,-0.12,,,,,
6852476,0,-0.18,-0.06,,,,,
6858581,-0.12,-0.24,0,,,,,
6865835,-0.06,-0.24,-0.06,,,,,
6871981,0.06,-0.24,-0.12,,,,,
6879081,0.24,-0.24,-0.06,,,,,
6885189,0.24,-0.31,-0.06,,,,,
6891337,0.18,-0.31,0.06,,,,,
6897490,0.06,-0.31,0.12,,,,,
6904430,-0.06,-0.18,0.06,,,,,
6910587,-0.12,-0.18,0.06,,,,,
6916743,0,-0.12,0,,,,,
6922839,0.12,-0.12,0,,,,,
6929007,0.18,-0.12,-0.06,,,,,
6935711,0.12,-0.18,-0.06,,,,,
6942672,0.06,-0.18,0.06,,,,,
6948839,0.06,-0.06,0.06,,,,,
6954982,0.06,0.06,0.06,,,,,
6961119,0.06,0.06,0,,,,,
6967286,0.06,0,0,,,,,
6974230,0,-0.18,-0.06,,,,,
6980313,-0.06,-0.24,-0.06,,,,,
6987036,-0.18,-0.31,0,,,,,
6993211,-0.18,-0.37,0,,,,,
6999360,-0.06,-0.49,0.12,,,,,
7005541,-0.06,-0.61,0.12,,,,,
7012540,0,-0.73,0.12,,,,,
7018728,0.12,-0.92,-0.12,,,,,
7024892,0.18,-0.85,-0.18,,,,,
7031088,0.24,-0.73,-0.18,,,,,
7038175,0.18,-0.55,-0.12,,,,,
7044336,0,-0.49,-0.06,,,,,
7051401,0,-0.79,-0.06,,,,,
7057282,0,-1.22,-0.12,,,,,
7063166,-0.06,-1.71,-0.06,,,,,
7069054,-0.18,-2.32,-0.06,,,,,
7075052,-0.18,-2.32,-0.06,,,,,
7081055,-0.12,-2.2,0,,,,,
7094429,0,-1.4,0,,,,,
7101211,0.12,-0.98,-0.06,,,,,
7107142,0.18,-0.55,0,,,,,
7113070,0.18,-0.18,0.06,,,,,
7118995,0.31,0.55,0.18,,,,,
7126197,0.24,0.79,0.18,,,,,
7132128,0.18,0.79,0.18,,,,,
7138011,0.12,0.67,0.18,,,,,
7143950,0.18,0.43,0.12,,,,,
7150872,0.24,0.31,0.18,,,,,
7157072,0.31,0.18,0.18,,,,,
7164283,0.18,-0.12,0.12,,,,,
7170209,0.18,0,0.18,,,,,
7176133,0.24,0.31,0.24,,,,,
7182067,0.31,0.73,0.24,,,,,
7187999,0.37,1.16,0.12,,,,,
7193932,0.37,1.59,-0.06,,,,,
7202101,0.24,1.59,-0.06,,,,,
7208032,0.12,1.34,0,,,,,
7214267,-0.06,0.37,0.18,,,,,
7220158,-0.12,-0.06,0.18,,,,,
7226102,-0.18,-0.55,0.06,,,,,
7232012,-0.31,-1.04,-0.06,,,,,
7239223,-0.55,-2.14,-0.18,,,,,
7245123,-0.55,-2.69,-0.24,,,,,
7251060,-0.49,-2.75,-0.24,,,,,
7257938,-0.49,-2.14,-0.24,,,,,
7263792,-0.31,0.79,-0.12,,,,,
7269975,-0.24,2.08,-0.06,,,,,
7277095,-0.12,2.56,0.06,,,,,
7282957,-0.06,2.38,0.12,,,,,
7288822,-0.06,0.98,0.18,,,,,
7294692,-0.06,0.12,0.12,,,,,
7300590,-0.06,-0.61,0.06,,,,,
7307793,-0.12,-1.28,0.06,,,,,
7314690,-0.24,-2.08,-0.06,,,,,
7320580,-0.24,-1.89,-0.06,,,,,
7326819,-0.18,-1.4,-0.06,,,,,
7332736,-0.12,-0.67,0,,,,,
7338657,0,0.67,0,,,,,
7345827,0.06,1.28,0,,,,,
7351735,0.12,1.83,-0.06,,,,,
7357654,0.24,2.26,-0.06,,,,,
7363543,0.37,2.14,0,,,,,
7370444,0.37,1.53,0,,,,,
7376362,0.24,0.79,0.06,,,,,
7383972,-0.06,-0.24,0.12,,,,,
7389871,-0.18,-0.55,0.12,,,,,
7395808,-0.18,-0.73,0.18,,,,,
7401746,-0.18,-0.79,0.18,,,,,
7407688,-0.31,-0.79,0.18,,,,,
7413587,-0.31,-0.61,0.18,,,,,
7421777,-0.24,-0.43,0.12,,,,,
7427670,-0.12,-0.31,0.06,,,,,
7433573,-0.06,-0.43,0.06,,,,,
7439810,-0.12,-0.43,0.12,,,,,
7445690,-0.18,-0.31,0.18,,,,,
7452840,-0.92,-0.06,0.12,,,,,
7458718,-4.21,0.24,0.06,,,,,
7464631,-4.76,0.12,0.06,,,,,
7470501,-3.72,0,0.06,,,,,
7477388,-2.08,-0.12,0,,,,,
7483263,-0.73,-0.24,0,,,,,
7490419,0.12,-0.61,-0.06,,,,,
7496673,0,-0.98,-0.12,,,,,
7502592,-0.06,-1.4,-0.06,,,,,
7508512,-0.18,-2.01,0,,,,,
7524556,-2.14,-0.73,0.12,,,,,
7531236,-6.1,0.18,0.06,,,,,
7538069,-10.31,0.73,0,,,,,
7544161,-8.79,0.67,-0.12,,,,,
7550261,-4.64,0.49,-0.12,,,,,
7556345,-1.46,0.31,-0.06,,,,,
7562350,0.12,0.12,0,,,,,
7568451,0.37,-0.18,-0.06,,,,,
7575282,0.12,-0.31,-0.06,,,,,
7582354,-0.06,-0.43,-0.06,,,,,
7588458,-0.06,-0.55,-0.06,,,,,
7594575,-0.06,-0.61,0,,,,,
7600679,-0.06,-0.61,0,,,,,
7607512,-0.18,-0.79,0.12,,,,,
7613611,-0.55,-2.5,0.55,,,,,
7619647,-0.43,-2.81,0.79,,,,,
7625771,-0.12,-2.26,1.22,,,,,
7631899,0.12,-1.71,2.32,,,,,
7638596,0.43,-1.34,4.64,,,,,
7645480,0.55,-1.1,4.33,,,,,
7651576,0.61,-0.92,3.11,,,,,
7657701,0.49,-0.79,1.65,,,,,
7663832,0.06,-0.24,0.37,,,,,
7669968,-0.06,0.24,1.22,,,,,
7676027,-0.18,0.79,2.99,,,,,
7682944,-0.31,1.22,4.82,,,,,
7689647,-1.16,1.53,7.32,,,,,
7695734,-3.48,1.83,6.35,,,,,
7701869,-7.14,2.62,2.99,,,,,
7708007,-10.07,3.91,-1.65,,,,,
7714156,-7.39,7.45,-5.8,,,,,
7721093,-5.07,8.48,-3.97,,,,,
7727244,-4.15,9.09,-1.16,,,,,
7733272,-2.75,6.1,-0.06,,,,,
7739412,-1.22,3.3,-6.1,,,,,
7746146,-0.61,2.5,-14.95,,,,,
7753094,-1.59,4.27,-21.85,,,,,
7759223,-6.1,11.05,-22.95,,,,,
7765386,-6.9,13.06,-20.08,,,,,
7771521,-5.8,13.37,-17.09,,,,,
7777484,-3.42,12.39,-14.53,,,,,
7783455,-0.43,8.18,-9.77,,,,,
7791054,-0.43,5.25,-6.77,,,,,
7798013,-1.22,2.14,-3.54,,,,,
7803992,-3.42,-3.36,2.62,,,,,
7809969,-3.23,-4.64,4.27,,,,,
7815944,-1.83,-4.64,4.39,,,,,
7821928,-0.24,-3.91,3.66,,,,,
7829224,1.46,-2.99,2.75,,,,,
7835203,1.59,-2.75,2.69,,,,,
7841188,1.4,-2.32,2.38,,,,,
7847474,0.98,-1.71,1.83,,,,,
7854404,0.31,0.24,0.55,,,,,
7861715,0.12,1.04,0,,,,,
7867697,-0.06,1.95,-0.73,,,,,
7873657,-0.79,3.11,-2.32,,,,,
7879626,-0.92,2.44,-2.38,,,,,
7885593,-1.1,0.61,-1.53,,,,,
7891595,-4.94,-3.85,1.95,,,,,
7898921,-23.8,-18.19,15.08,,,,,
7906234,-26.43,-21.97,19.1,,,,,
7912237,-20.26,-21.55,19.29,,,,,
7918237,-3.42,-13.79,13.31,,,,,
7924238,0.67,-9.09,9.22,,,,,
7930231,2.14,-4.82,5.13,,,,,
7937553,2.01,-1.77,2.01,,,,,
7943554,0.73,0.79,-0.49,,,,,
7949571,0.31,1.04,-0.49,,,,,
7955590,0.18,0.92,-0.24,,,,,
7962891,0.18,0.43,0.12,,,,,
7968903,0.18,-0.92,0.61,,,,,
7976262,0.18,-1.46,0.61,,,,,
7982255,0.18,-1.77,0.49,,,,,
7988281,0.31,-2.2,0.31,,,,,
7994309,0.43,-2.2,0.37,,,,,
8000335,0.55,-1.95,0.37,,,,,
8007711,0.49,-1.4,0.24,,,,,
8014736,0.12,0.18,-0.31,,,,,
8021102,0,0.73,-0.55,,,,,
8027131,-0.06,0.79,-0.55,,,,,
8033157,-0.06,0.55,-0.49,,,,,
8039193,0.24,-0.18,-0.24,,,,,
8046580,0.43,-0.24,-0.06,,,,,
8052592,0.49,-0.12,0.06,,,,,
8058634,0.55,0.06,0.24,,,,,
8064654,0.85,-0.37,0.43,,,,,
8071694,1.46,-1.28,0.73,,,,,
8078083,2.44,-2.5,1.46,,,,,
8085490,4.21,-4.64,3.85,,,,,
8091545,4.7,-5.43,4.52,,,,,
8097600,5.13,-6.04,4.7,,,,,
8103669,5.62,-6.23,5.43,,,,,
8109736,5.68,-6.23,6.16,,,,,
8115793,5.86,-6.71,6.71,,,,,
8124209,11.11,-8.42,6.47,,,,,
8130264,20.2,-8.67,5.49,,,,,
8136658,33.02,-8.18,4.27,,,,,
8142723,46.51,-7.75,3.11,,,,,
8148792,62.68,-10.93,0.31,,,,,
8156223,63.96,-15.5,-1.83,,,,,
8162294,62.13,-20.94,-3.6,,,,,
8168362,61.71,-28.26,2.26,,,,,
8175418,67.44,-30.27,11.78,,,,,
8181486,73.24,-31.56,24.29,,,,,
8187562,69.4,-29.79,36.74,,,,,
8195333,52.49,-22.09,52.43,,,,,
8201393,48.4,-18.8,54.75,,,,,
8207456,39.67,-13.37,55.36,,,,,
8213529,15.26,0,51.88,,,,,
8219591,13.73,1.95,45.96,,,,,
8226647,18.86,1.65,37.6,,,,,
8234156,34.67,1.71,20.45,,,,,
8240333,38.57,4.09,14.34,,,,,
8246503,37.6,7.87,11.84,,,,,
8252986,34.42,10.38,13.73,,,,,
8259149,29.48,2.14,23.56,,,,,
8265308,28.99,-8.67,26.25,,,,,
8279097,31.25,-36.5,18.19,,,,,
8285690,28.5,-37.66,12.39,,,,,
8291744,23.56,-33.81,3.78,,,,,
8297800,17.76,-25.51,-8.42,,,,,
8303841,9.89,-2.93,-32.41,,,,,
8311244,8.91,6.84,-37.05,,,,,
8317602,8.61,14.77,-37.41,,,,,
8323645,7.63,26.55,-35.64,,,,,
8340152,7.81,40.22,-36.38,,,,,
8345964,8.79,43.03,-36.44,,,,,
8352141,10.07,44.74,-35.46,,,,,
8359136,11.6,44.74,-30.52,,,,,
8365334,11.6,43.33,-27.53,,,,,
8371529,11.72,40.89,-24.72,,,,,
8377726,12.45,37.29,-22.09,,,,,
8383834,13.79,27.71,-18.19,,,,,
8390046,13.61,23.68,-18.01,,,,,
8398018,13.12,20.75,-19.35,,,,,
8404191,13.55,16.6,-24.29,,,,,
8410352,14.04,14.95,-26.86,,,,,
8416529,13.85,14.22,-29.05,,,,,
8422706,12.51,14.71,-30.88,,,,,
8429709,8.91,17.58,-33.39,,,,,
8435899,8.12,18.74,-34.18,,,,,
8442011,8.06,19.35,-34.61,,,,,
8449192,8.85,21.67,-34,,,,,
8455007,9.64,24.29,-33.14,,,,,
8460815,11.41,27.59,-32.1,,,,,
8467863,13.79,30.88,-31.13,,,,,
8473692,18.13,36.19,-29.66,,,,,
8479529,19.47,38.33,-29.17,,,,,
8485360,20.08,40.04,-28.5,,,,,
8491198,20.14,40.71,-27.65,,,,,
8498588,18.07,38.33,-26.25,,,,,
8505406,15.38,36.68,-26.25,,,,,
8511246,11.66,35.89,-26.43,,,,,
8517072,7.08,36.56,-26.73,,,,,
8522897,1.89,38.45,-27.22,,,,,
8528740,-7.69,43.52,-28.08,,,,,
8535800,-10.99,45.41,-28.2,,,,,
8541633,-12.76,46.51,-28.08,,,,,
8547460,-12.88,46.75,-27.53,,,,,
8553611,-8.91,45.78,-23.8,,,,,
8560426,-5.92,45.65,-20.39,,,,,
8567471,-2.81,46.75,-16.54,,,,,
8573303,3.54,53.71,-9.77,,,,,
8579142,6.65,58.59,-7.26,,,,,
8584964,8.97,63.48,-5.07,,,,,
8590784,10.13,67.99,-3.23,,,,,
8596609,9.77,72.45,-1.83,,,,,
8603629,5.62,82.76,0,,,,,
8609743,2.93,88.01,0.55,,,,,
8616522,0.18,92.16,0.79,,,,,
8622715,-2.69,94.67,0.73,,,,,
8628588,-10.07,95.89,0.06,,,,,
8634464,-14.4,96.62,-0.31,,,,,
8641593,-18.13,98.21,-0.37,,,,,
8647474,-20.51,100.4,0,,,,,
8653359,-23.25,102.23,0.98,,,,,
8659248,-25.15,99.06,0.43,,,,,
8665457,-26.43,93.87,-0.18,,,,,
8673590,-22.09,90.76,1.77,,,,,
8679466,-17.64,95.89,3.3,,,,,
8685364,-13.18,103.27,4.15,,,,,
8691259,-9.4,110.29,4.03,,,,,
8701180,-4.88,115.97,2.08,,,,,
8708336,-4.39,109.68,0.06,,,,,
8714244,-4.64,106.51,-1.65,,,,,
8720144,-4.94,105.41,-3.6,,,,,
8727350,-5.37,106.32,-5,,,,,
8733245,-7.51,111.94,-3.54,,,,,
8739155,-9.22,116.39,-0.37,,,,,
8746307,-11.05,121.89,4.03,,,,,
